,algorithm,error_type_I,error_type_II,imputation_method,missing_data_percentage,true_negatives,true_positives
71,G_Means,11.6,7.6,KNN_Imputation_N_3,15,185.4,29.4
72,K-Means,18.9,5.7,Mean_Imputation,20,178.1,31.3
73,Fuzzy_C_Means,16.5,6.3,Mean_Imputation,20,180.5,30.7
74,DBSCAN_Center,4.1,25.2,Mean_Imputation,20,192.9,11.8
75,Affinity_Propagation,17.2,8.1,Mean_Imputation,20,179.8,28.9
76,GMM,7.3,35.8,Mean_Imputation,20,189.7,1.2
77,G_Means,13.0,7.7,Mean_Imputation,20,184.0,29.3
78,K-Means,17.9,5.1,Interpolation_Imputation,20,179.1,31.9
79,Fuzzy_C_Means,16.0,5.6,Interpolation_Imputation,20,181.0,31.4
80,DBSCAN_Center,2.4,14.4,Interpolation_Imputation,20,194.6,22.6
81,Affinity_Propagation,17.6,5.5,Interpolation_Imputation,20,179.4,31.5
82,GMM,7.0,36.0,Interpolation_Imputation,20,190.0,1.0
83,G_Means,9.7,7.4,Interpolation_Imputation,20,187.3,29.6
84,K-Means,18.0,6.1,KNN_Imputation_N_3,20,179.0,30.9
85,Fuzzy_C_Means,14.6,7.6,KNN_Imputation_N_3,20,182.4,29.4
86,DBSCAN_Center,8.1,27.1,KNN_Imputation_N_3,20,188.9,9.9
87,Affinity_Propagation,20.1,4.9,KNN_Imputation_N_3,20,176.9,32.1
88,GMM,8.1,35.9,KNN_Imputation_N_3,20,188.9,1.1
89,G_Means,13.2,7.6,KNN_Imputation_N_3,20,183.8,29.4
90,K-Means,14.9,7.5,Mean_Imputation,25,182.1,29.5
91,Fuzzy_C_Means,13.1,7.8,Mean_Imputation,25,183.9,29.2
92,DBSCAN_Center,5.8,24.1,Mean_Imputation,25,191.2,12.9
93,Affinity_Propagation,14.6,9.2,Mean_Imputation,25,182.4,27.8
94,GMM,7.8,35.7,Mean_Imputation,25,189.2,1.3
95,G_Means,12.4,8.2,Mean_Imputation,25,184.6,28.8
96,K-Means,17.7,5.6,Interpolation_Imputation,25,179.3,31.4
97,Fuzzy_C_Means,10.2,7.8,Interpolation_Imputation,25,186.8,29.2
98,DBSCAN_Center,2.7,14.6,Interpolation_Imputation,25,194.3,22.4
99,Affinity_Propagation,17.4,5.9,Interpolation_Imputation,25,179.6,31.1
100,GMM,7.0,36.0,Interpolation_Imputation,25,190.0,1.0
101,G_Means,10.1,8.0,Interpolation_Imputation,25,186.9,29.0
102,K-Means,16.5,6.6,KNN_Imputation_N_3,25,180.5,30.4
103,Fuzzy_C_Means,10.8,10.0,KNN_Imputation_N_3,25,186.2,27.0
104,DBSCAN_Center,9.5,25.2,KNN_Imputation_N_3,25,187.5,11.8
105,Affinity_Propagation,16.7,8.9,KNN_Imputation_N_3,25,180.3,28.1
106,GMM,7.7,35.7,KNN_Imputation_N_3,25,189.3,1.3
107,G_Means,11.9,8.5,KNN_Imputation_N_3,25,185.1,28.5
108,K-Means,15.2,8.1,Mean_Imputation,35,181.8,28.9
109,Fuzzy_C_Means,12.3,8.9,Mean_Imputation,35,184.7,28.1
110,DBSCAN_Center,8.9,18.0,Mean_Imputation,35,188.1,19.0
111,Affinity_Propagation,16.3,9.1,Mean_Imputation,35,180.7,27.9
112,GMM,8.4,35.6,Mean_Imputation,35,188.6,1.4
113,G_Means,12.9,8.2,Mean_Imputation,35,184.1,28.8
114,K-Means,15.4,6.3,Interpolation_Imputation,35,181.6,30.7
115,Fuzzy_C_Means,11.4,8.3,Interpolation_Imputation,35,185.6,28.7
116,DBSCAN_Center,1.5,19.4,Interpolation_Imputation,35,195.5,17.6
117,Affinity_Propagation,17.6,5.9,Interpolation_Imputation,35,179.4,31.1
118,GMM,7.0,36.0,Interpolation_Imputation,35,190.0,1.0
119,G_Means,10.9,7.8,Interpolation_Imputation,35,186.1,29.2
120,K-Means,17.0,6.3,KNN_Imputation_N_3,35,180.0,30.7
121,Fuzzy_C_Means,13.6,7.6,KNN_Imputation_N_3,35,183.4,29.4
122,DBSCAN_Center,6.6,22.6,KNN_Imputation_N_3,35,190.4,14.4
123,Affinity_Propagation,16.9,8.4,KNN_Imputation_N_3,35,180.1,28.6
124,GMM,8.2,35.7,KNN_Imputation_N_3,35,188.8,1.3
125,G_Means,13.8,8.5,KNN_Imputation_N_3,35,183.2,28.5
126,K-Means,17.1,8.3,Mean_Imputation,50,179.9,28.7
127,Fuzzy_C_Means,13.7,10.7,Mean_Imputation,50,183.3,26.3
128,DBSCAN_Center,10.5,25.2,Mean_Imputation,50,186.5,11.8
129,Affinity_Propagation,16.8,9.6,Mean_Imputation,50,180.2,27.4
130,GMM,8.5,35.2,Mean_Imputation,50,188.5,1.8
131,G_Means,12.5,11.2,Mean_Imputation,50,184.5,25.8
132,K-Means,15.3,6.1,Interpolation_Imputation,50,181.7,30.9
133,Fuzzy_C_Means,11.9,8.4,Interpolation_Imputation,50,185.1,28.6
134,DBSCAN_Center,4.5,23.8,Interpolation_Imputation,50,192.5,13.2
135,Affinity_Propagation,16.1,5.9,Interpolation_Imputation,50,180.9,31.1
136,GMM,7.0,35.9,Interpolation_Imputation,50,190.0,1.1
137,G_Means,11.9,7.6,Interpolation_Imputation,50,185.1,29.4
138,K-Means,17.6,8.8,KNN_Imputation_N_3,50,179.4,28.2
139,Fuzzy_C_Means,14.4,10.9,KNN_Imputation_N_3,50,182.6,26.1
140,DBSCAN_Center,10.0,27.0,KNN_Imputation_N_3,50,187.0,10.0
141,Affinity_Propagation,17.6,9.6,KNN_Imputation_N_3,50,179.4,27.4
142,GMM,9.3,34.6,KNN_Imputation_N_3,50,187.7,2.4
143,G_Means,13.6,12.4,KNN_Imputation_N_3,50,183.4,24.6
144,K-Means,16.0,9.1,Mean_Imputation,60,181.0,27.9
145,Fuzzy_C_Means,13.1,13.2,Mean_Imputation,60,183.9,23.8
146,DBSCAN_Center,10.0,17.7,Mean_Imputation,60,187.0,19.3
147,Affinity_Propagation,17.4,9.4,Mean_Imputation,60,179.6,27.6
148,GMM,9.7,34.5,Mean_Imputation,60,187.3,2.5
149,G_Means,13.9,12.6,Mean_Imputation,60,183.1,24.4
150,K-Means,16.5,6.4,Interpolation_Imputation,60,180.5,30.6
151,Fuzzy_C_Means,10.1,12.6,Interpolation_Imputation,60,186.9,24.4
152,DBSCAN_Center,6.8,24.2,Interpolation_Imputation,60,190.2,12.8
153,Affinity_Propagation,16.5,7.7,Interpolation_Imputation,60,180.5,29.3
154,GMM,7.4,35.8,Interpolation_Imputation,60,189.6,1.2
155,G_Means,12.0,7.8,Interpolation_Imputation,60,185.0,29.2
156,K-Means,17.9,5.8,KNN_Imputation_N_3,60,179.1,31.2
157,Fuzzy_C_Means,11.9,14.5,KNN_Imputation_N_3,60,185.1,22.5
158,DBSCAN_Center,11.3,19.0,KNN_Imputation_N_3,60,185.7,18.0
159,Affinity_Propagation,19.8,6.1,KNN_Imputation_N_3,60,177.2,30.9
160,GMM,9.0,34.4,KNN_Imputation_N_3,60,188.0,2.6
161,G_Means,13.5,10.6,KNN_Imputation_N_3,60,183.5,26.4
162,K-Means,16.1,9.6,Mean_Imputation,70,180.9,27.4
163,Fuzzy_C_Means,13.0,16.6,Mean_Imputation,70,184.0,20.4
164,DBSCAN_Center,15.2,17.6,Mean_Imputation,70,181.8,19.4
165,Affinity_Propagation,16.4,9.6,Mean_Imputation,70,180.6,27.4
166,GMM,10.3,31.6,Mean_Imputation,70,186.7,5.4
