,algorithm,error_type_I,error_type_II,imputation_method,missing_data_percentage,true_negatives,true_positives
80,DBSCAN_Center,5.96,13.52,Interpolation_Imputation,15,191.04,23.48
81,Affinity_Propagation,14.96,15.08,Interpolation_Imputation,15,182.04,21.92
82,GMM,0.0,37.0,Interpolation_Imputation,15,197.0,0.0
83,G_Means,12.0,11.72,Interpolation_Imputation,15,185.0,25.28
84,K-Means,16.96,6.04,KNN_Imputation_N_3,15,180.04,30.96
85,Fuzzy_C_Means,11.76,8.56,KNN_Imputation_N_3,15,185.24,28.44
86,DBSCAN_Center,5.12,28.96,KNN_Imputation_N_3,15,191.88,8.04
87,Affinity_Propagation,17.48,5.92,KNN_Imputation_N_3,15,179.52,31.08
88,GMM,7.4,35.92,KNN_Imputation_N_3,15,189.6,1.08
89,G_Means,13.08,7.36,KNN_Imputation_N_3,15,183.92,29.64
90,K-Means,16.68,6.28,KNN_Imputation_N_7,15,180.32,30.72
91,Fuzzy_C_Means,13.0,8.04,KNN_Imputation_N_7,15,184.0,28.96
92,DBSCAN_Center,4.08,22.04,KNN_Imputation_N_7,15,192.92,14.96
93,Affinity_Propagation,16.76,6.64,KNN_Imputation_N_7,15,180.24,30.36
94,GMM,7.32,35.84,KNN_Imputation_N_7,15,189.68,1.16
95,G_Means,12.4,7.64,KNN_Imputation_N_7,15,184.6,29.36
96,K-Means,18.08,6.32,Mean_Imputation,20,178.92,30.68
97,Fuzzy_C_Means,15.6,7.12,Mean_Imputation,20,181.4,29.88
98,DBSCAN_Center,4.52,24.68,Mean_Imputation,20,192.48,12.32
99,Affinity_Propagation,16.88,7.36,Mean_Imputation,20,180.12,29.64
100,GMM,7.76,35.84,Mean_Imputation,20,189.24,1.16
101,G_Means,13.28,8.04,Mean_Imputation,20,183.72,28.96
102,K-Means,16.24,11.28,Interpolation_Imputation,20,180.76,25.72
103,Fuzzy_C_Means,12.44,12.64,Interpolation_Imputation,20,184.56,24.36
104,DBSCAN_Center,8.04,13.8,Interpolation_Imputation,20,188.96,23.2
105,Affinity_Propagation,14.92,12.64,Interpolation_Imputation,20,182.08,24.36
106,GMM,0.52,37.0,Interpolation_Imputation,20,196.48,0.0
107,G_Means,11.48,12.64,Interpolation_Imputation,20,185.52,24.36
108,K-Means,16.72,6.28,KNN_Imputation_N_3,20,180.28,30.72
109,Fuzzy_C_Means,16.0,6.88,KNN_Imputation_N_3,20,181.0,30.12
110,DBSCAN_Center,8.32,22.4,KNN_Imputation_N_3,20,188.68,14.6
111,Affinity_Propagation,18.04,6.36,KNN_Imputation_N_3,20,178.96,30.64
112,GMM,7.8,35.76,KNN_Imputation_N_3,20,189.2,1.24
113,G_Means,12.56,7.68,KNN_Imputation_N_3,20,184.44,29.32
114,K-Means,16.32,6.56,KNN_Imputation_N_7,20,180.68,30.44
115,Fuzzy_C_Means,16.44,6.32,KNN_Imputation_N_7,20,180.56,30.68
116,DBSCAN_Center,6.44,21.28,KNN_Imputation_N_7,20,190.56,15.72
117,Affinity_Propagation,16.96,6.68,KNN_Imputation_N_7,20,180.04,30.32
